Autor,Objeto (é imagem)?,Objeto,Enunciado,Alternativa a,Alternativa b,Alternativa c,Alternativa d,Alternativa e,Resposta,"Resolução 
(caso discursiva)","Origem
(Fonte)",Ano,"Disciplinas 
(Separadas por vírgula)",Grau de dificuldade,Nível de Ensino,"Tags
(Separadas por vírgula)"
Mupi,,,"<p>Observe os pares de frases:</p>
<p>
A) 1. Conversaram <strong>acerca</strong> da venda do imóvel.</br>
2. Conversaram <strong>a cerca</strong> de duas horas sobre a venda do imóvel.</p>
<p>
B) 1. Pela janela entreaberta, testemunhou, abismado, que o monge dormia na <strong>sela</strong>.</br>
2. Pela janela entreaberta, testemunhou, abismado, que o monge dormia na <strong>cela</strong>.</p>
<p>C) 1. A <strong>descrição</strong> dos personagens não cabe neste contexto.</br>
2. A <strong>discrição</strong> dos personagens não cabe neste contexto.</p>
<p>D) 1. Os senadores mais velhos se preparavam para <strong>caçar</strong> tucanos.</br>
2. Os senadores mais velhos se preparavam para <strong>cassar</strong> tucanos.</p>
<p>E) 1. O magistrado empenhou-se para <strong>absolver</strong> o real sentido daquele depoimento.</br>
2. Diante da falta de provas, um magistrado jamais irá <strong>absorver</strong> um réu.</p>
<p>Os dois empregos dos termos destacados se ajustam adequadamente ao contexto em:</p>",A - B - E,A - B - D,B - D – E,B – C – D,A – C – D,d,,Cotuca,2010,2,M,3,"ortografia, homônimo"
Mupi,,,Somente uma das redações abaixo está CORRETA quanto ao emprego dos verbos:,"Quando você o vir, avisa-lhe que poderemos participar da Olimpíada de Química, desde que
começamos a desenvolver logo as pesquisas de laboratório. Embora podemos estudar por conta própria,
será melhor esperar até que o professor tenha chego.","Quando você o vir, avise-lhe que poderemos participar da Olimpíada de Química, desde que
comecemos a desenvolver logo as pesquisas de laboratório. Embora possamos estudar por conta própria,
será melhor esperar até que o professor tenha chegado.","Quando você o ver, avisa-lhe que poderemos participar da Olimpíada de Química, desde que
comecemos a desenvolver logo as pesquisas de laboratório. Embora podemos estudar por conta própria,
será melhor esperar até que o professor tenha chego.","Quando você o ver, avise-lhe que poderemos participar da Olimpíada de Química, desde que
começamos a desenvolver logo as pesquisas de laboratório. Embora possamos estudar por conta própria,
será melhor esperar até que o professor tenha chegado.","Quando você o ver, avise-lhe que poderemos participar da Olimpíada de Química, desde que
comecemos a desenvolver logo as pesquisas de laboratório. Embora podemos estudar por conta própria,
será melhor esperar até que o professor tenha chegado.",b,,Cotuca,2010,2,H,3,"verbo irregular, verbo ver, conjugação verbal, modo subjuntivo, futuro do subjuntivo"
Mupi,S,cotuca-2010/img002.png,"A figura mostra a imagem do porquinho refletida em uma bolinha de árvore de Natal, considerada
como um espelho esférico convexo. Em relação a essa figura, podemos afirmar:","A figura está correta, pois um espelho esférico convexo sempre forma uma imagem maior que o objeto.","A figura está incorreta, pois um espelho esférico convexo sempre forma uma imagem menor que o
objeto.","A figura está incorreta, pois um espelho esférico convexo sempre forma uma imagem do mesmo
tamanho do objeto.","A figura está incorreta, pois um espelho esférico convexo sempre forma uma imagem invertida em
relação ao objeto.","A figura está incorreta, pois a posição em que se encontra o porquinho não possibilita a formação de
imagem no espelho.",b,,Cotuca,2010,9,M,3,"óptica, espelho esférico, espelho convexo"
Mupi,S,cotuca-2010/img003.png,"O gráfico representa a curva de aquecimento de H2O (água) do estado sólido até a sua completa
vaporização, ao nível do mar (à pressão de 1 atm). Com base no gráfico, assinale a alternativa CORRETA.","O gráfico a seguir representa a curva de aquecimento de H2O (água) do estado sólido até a sua completa
vaporização, ao nível do mar (à pressão de 1 atm).

Com base no gráfico, assinale a alternativa CORRETA.","Ocorreu mudança de estado físico da água nos
trechos AB e CD.","A maior absorção de calor ocorreu no trecho
CD.","A maior variação de temperatura ocorreu no
trecho DE.",A fusão da água ocorreu no trecho AB.,a,,Cotuca,2010,"9, 4",M,3,"estados físicos, estados físicos da água, gráfico, mudança de estado físico"
Mupi,,,"Qual das alternativas a seguir apresenta uma sequência de gráficos que representam, de maneira CORRETA,
a variação do espaço (s), da velocidade (v) e da aceleração (a), para um mesmo intervalo de tempo (t), em um
Movimento Retilíneo Uniforme (MRU).","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img004.png""/>","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img005.png""/>","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img006.png""/>","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img007.png""/>","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img008.png""/>",e,,Cotuca,2010,"4, 9",H,3,"movimento retilíneo uniforme, mru, mecânica, reta, gráfico"
Mupi,,,"Qual o valor da expressão <img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img009.png""/> quando <img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img010.png""/>?",2,3,-4/5,1/2,-10/7,c,,Cotuca,2010,4,E,3,"equação primeiro grau, fração, operações com fração"
Mupi,,,"Três amigos, Alberto, Bruna e Carlos, foram a uma lanchonete. Alberto comprou 2 latas de refrigerante e 3
salgados, pagando R$ 10,40. Já Bruna consumiu 1 lata de refrigerante e 2 salgados, pagando R$ 6,10. Se Carlos
consumiu 3 latas de refrigerante e 1 salgado, qual foi o valor pago por ele?","R$9,60","R$9,30","R$8,90","R$8,40","R$7,80",b,,Cotuca,2010,4,H,3,"solução problema, resolução problema"
Mupi,,,"<p>Considere os conjuntos:</p>
<p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img011.png""/></p>

<p>Agora, considere as seguintes proposições:</p>
<p>
I) <img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img012.png""/></br>
II) <img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img013.png""/> </br>
III) O conjunto A tem quatro elementos </br>
IV) <img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img014.png""/></br>
V) <img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img015.png""/></p>

<p>Qual é a única proposição CORRETA?</p>
",I,II,III,IV,V,d,,Cotuca,2010,4,H,3,"matemática básica, conjuntos"
Mupi,,,<p>Qual é o conjunto-solução da equação (2x – 3)<sup>2</sup> = (3x – 1)∙(x – 1) – 3 ?</p>,S ={4 &#177; &#8730;5},S ={4 &#177; 2&#8730;5},S ={-2 &#177; &#8730;11},S ={-2 &#177; 2&#8730;11},S ={-4 &#177; &#8730;11},a,,Cotuca,2010,4,H,3,"equação segundo grau, conjunto-solução"
Mupi,,,"<p>Sabendo que o gráfico abaixo, representado no plano cartesiano, é uma reta, qual é o valor de y quando
x = 8?</p>
<p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img016.png""/></p>",35/3,37/3,38/3,40/3,41/3,e,,Cotuca,2010,4,E,3,"reta, gráfico, plano cartesiano, equação primeiro grau"
Mupi,,,"<p>Uma folha de papel retangular possui área de 672 cm<sup>2</sup>. Se dobrada, conforme representação abaixo, obtêm-se duas figuras: um retângulo de área 416 cm<sup>2</sup> e um triângulo retângulo.</p>
<p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img017.png""/></p>
<p>Qual a medida da diagonal da folha de papel?</p>",&#8730;1344 cm,&#8730;1360 cm,&#8730;1465 cm,&#8730;2020 cm,&#8730;3280 cm,d,,Cotuca,2010,4,M,3,"geometria, retângulo, área, diagonal retângulo"
Mupi,,,"<p>João possui 10 figurinhas enumeradas de 1 a 10 e Pedro possui 5, enumeradas de 11 a 15. Jogando bafo,
entre perdas e ganhos, João ganhou uma figurinha e perdeu duas. Com isso, a soma dos números das figurinhas
de Pedro passou para 67. Das figurinhas que João perdeu, o número de uma é o dobro da outra. Qual é a soma dos números das figurinhas
que Pedro ganhou?</p>",3,6,9,12,15,e,,Cotuca,2010,4,M,3,"raciocínio lógico, solução problema, resolução problema"
Mupi,,,"<p>Uma empresa fabrica e vende dois tipos de rolamentos, A e B, para motores. O gráfico de linhas abaixo representa o número de unidades vendidas dos dois produtos no período compreendido entre janeiro e setembro
de 2009.</p>
<p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img018.png""/></p>
<p>Podemos afirmar que:</p>","Entre abril e julho, a venda do produto A se manteve constante.","Em março, foram vendidas 1200 unidades do produto B e 1300 unidades do produto A.","A média de vendas do produto B, no período de fevereiro a setembro, foi de 1150 unidades/mês.","De março para abril, o produto B teve uma queda de venda de 30%.","No período de abril a agosto, o rolamento A vendeu 500 unidades a mais que o rolamento B.",c,,Cotuca,2010,4,M,3,"gráfico linhas, interpretação gráfico"
Mupi,,,"Com R$ 40,00, Rose comprou dois produtos, A e B. Vendeu A com um ganho de 20% e B com uma perda de
20%. Considerando que Rose vendeu A por R$ 30,00, é correto afirmar que, em relação à venda de A e B:",Rose não obteve nem lucro nem prejuízo.,O preço de compra de B é a metade do preço de venda de A.,"Rose obteve um prejuízo de R$ 2,00.",Não é possível saber se Rose teve lucro ou não.,"Rose obteve um lucro superior a R$ 2,00.",b,,Cotuca,2010,4,M,3,"porcentagem, lucro, matemática financeira"
Mupi,,,"<p>Um ciclista sobe, em linha reta, a rampa de uma passarela de travessia com inclinação de 8&deg;, a uma velocidade de 5 metros por segundo. A altura do topo da rampa em relação ao solo é de 35 metros, conforme
mostra a figura:</p>
<p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img019.png""/></p>
<p>Qual é o tempo que o ciclista leva para subir completamente a rampa? Dados: sen8&deg; = 0,14 e cos8&deg; = 0,99.</p>",1min20s,1min10s,1min,50s,40s,d,,Cotuca,2010,4,M,3,"seno, cosseno, triângulo, trigonometria"
Mupi,,,"<p>Na figura a seguir, temos um retângulo de lados x e y e um setor circular de raio y. Sabendo que as áreas I e
II são equivalentes, qual é o valor da razão y/x?</p>
<p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img020.png""/></p>","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img021.png""/>","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img022.png""/>","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img023.png""/>","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img024.png""/>","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img025.png""/>",c,,Cotuca,2010,4,H,3,"geometria, circunferência, cumprimento, pi"
Mupi,,,"<p>Uma grandeza x é diretamente proporcional ao quadrado de uma grandeza y se os números que expressam essas grandezas variam na mesma razão, isto é, se existe uma constante k tal que <img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img026.png""/> . Considerando que, na tabela a seguir, x é diretamente proporcional ao quadrado de y e n > 0, qual é o valor de m/n?</p>
<p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/cotuca-2010/img027.png""/></p>",4,1/4,1/2,1/16,16,a,,Cotuca,2010,4,M,3,"grandezas, grandezas proporcionais, regra três"
Mupi,N,"<p>Tendo em vista a Lei Antifumo, implantada no Estado de São Paulo, desde 07 de agosto de 2009, foram
divulgadas várias informações a respeito do hábito de fumar e suas consequências. Um exemplo é o trecho da
entrevista do Dr. Daniel Deheinzelin (professor de Pneumologia da Faculdade de Medicina da Universidade de
São Paulo e diretor-clínico do Hospital A. C. Camargo, o Hospital do Câncer de São Paulo) ao Dr. Drauzio Varella.</p>
<p><small>(Fonte: http://www.drauziovarella.com.br/entrevistas/cigarro_aparelho1.asp)</small></p>

<p><strong>Ação da nicotina no aparelho respiratório</p></strong>

<p><strong>Drauzio</strong> - Em geral, a dependência da nicotina começa na adolescência. O que acontece com o pulmão do
adolescente quando começa a fumar?</br>
<strong>Daniel Deheinzelin</strong>– Tão logo a pessoa começa a fumar, tem início uma reação inflamatória provocada pela
temperatura elevada da fumaça que queima não só os pulmões, mas toda a via aérea. Prova disso é o reflexo de
tosse que acompanha as baforadas dos principiantes. Depois, os sintomas desagradáveis desaparecem e
progressivamente vai aumentando o número de cigarros fumados num dia. A combustão resultante dessa
agressão térmica gera partículas de oxigênio, os chamados radicais livres, que têm a capacidade de oxidar as
estruturas celulares, destruindo a base arquitetônica dos pulmões. Dizer que o cigarro faz mal para o pulmão é
apenas parte da verdade. O cigarro lesa as vias respiratórias inteirinhas. O revestimento interno do aparelho
respiratório não suporta a toxicidade nem a alta temperatura da fumaça e começa a sofrer um processo de
substituição de células. Além disso, a produção de muco aumenta muito. Por quê? Porque o muco funciona
como capa protetora do tecido epitelial que reveste as vias aéreas e pode ajudar a expelir os elementos irritantes
que foram inalados. Nos brônquios, a fumaça também provoca uma reação inflamatória que provoca destruição
progressiva da árvore brônquica. Portanto, já no dia em que o adolescente começa a fumar, e não tardiamente
como muitos pensam, a integridade do aparelho respiratório fica comprometida por duas razões:</br>
- destruição dos alvéolos, o que caracteriza uma doença chamada enfisema pulmonar;</br>
- mudança da composição do revestimento dos brônquios, o que acaba levando à doença conhecida como
bronquite.</p>",Qual das frases abaixo NÃO corresponde ao que diz o texto?,"O texto permite que se compreenda a origem do enfisema pulmonar, uma das consequências do uso do
cigarro.","O texto explica os problemas de saúde que atingem os chamados fumantes passivos, isto é, aqueles
que não têm hábito de fumar.","Segundo as informações do texto, as consequências do tabagismo não se limitam aos pulmões,
comprometendo outras vias respiratórias.","O texto afirma que a fumaça e outros componentes do cigarro provocam lesões no tecido que reveste
as vias respiratórias.","No texto, são encontradas diversas informações de ordem fisiológica, como a tosse dos que começam
a fumar.",b,,Cotuca,2010,"8, 7",M,3,"enfisema pulmonar, interpretação, dependência nicotina, drauzio varella, sistema respiratório"
